address,score,amount,category
io1cvjp02yan68yaaqj9wyk2wdgq2qpave05fsq85,50,423932396913772096,earlybird
io16rj3gksxscxqrm8h5h5flm5g05209drwanl9c7,100,847864793827544192,earlybird
io1vvnvlw8ll8tz78d3x5jefxp85a79zk6l8j34xp,50,423932396913772096,earlybird
io1d9ug8j9fmufrqp89m50dn002f6gk2c0pf0whqx,50,423932396913772096,earlybird
io1pryly0lq0a0whnzfzggw9q9wxam7tqcz4v622f,50,423932396913772096,earlybird
io1khlrng78nhcyyfn99lrz3du37kf77ul7tx9qew,50,423932396913772096,earlybird
io1wrvrk3yzkyphu6s8jfh4wzwc6ddm23qc3cp3dl,50,423932396913772096,earlybird
io13ux3gm22pqdzszyvt39ens4mydhcfnewh2shy4,50,423932396913772096,earlybird
io1p6dhfd0gt2kka29jqd9tuunplkedr2vywf99zr,50,423932396913772096,earlybird
io1mkpknlv260jvryx58yf2jjhctrqml5kap69xwg,50,423932396913772096,earlybird
io1e3pjjvjeydr8sm2af9z07q40n74hz6q95c3trg,50,423932396913772096,earlybird
io1wn4pdqp6ggry9c2cpp7ee0xka2mtug8tf8kqne,50,423932396913772096,earlybird
io1q0tfdre9d5zja8nhwumpcwhyh5nxpz9077eete,50,423932396913772096,earlybird
io1tfff77zhcz7xk2w0092xfzuveyrx239hth9ctg,50,423932396913772096,earlybird
io1wsqj79279k346nuwjhhm0xrklzcsu2j5k4r8sh,100,847864793827544192,earlybird
io1net7798wxhj8667gg67wvfpquq2xg44gxgcqv2,50,423932396913772096,earlybird
io19mp486npv8deczg6ut7hz95uh054aenrnzyaa5,50,423932396913772096,earlybird
io12a5s5y80przluqv6nmn72n6988mew46g90xta4,50,423932396913772096,earlybird
io1g7xx6lhrpfkcsdzmnzn8f2vz6ryy88k6nu5qge,50,423932396913772096,earlybird
io1r65f3343w6l5x6uyruvyes3pc2hpm3tjhkf2ue,50,423932396913772096,earlybird
